date_start_utc,date_end_utc,estimated,estimated_start,start_text,medal,venue_code,description,venue_code_other,discription_other,team_1_code,team_1,team_2_code,team_2,tag,sport,sport_code,sport_url
7/29/2024 20:04,7/29/2024 20:12,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
7/29/2024 20:21,7/29/2024 20:30,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
7/30/2024 13:30,7/30/2024 13:37,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
7/30/2024 13:58,7/30/2024 14:05,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
7/30/2024 15:50,7/30/2024 15:57,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
7/30/2024 16:46,7/30/2024 16:53,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
7/30/2024 13:30,7/30/2024 13:37,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
7/30/2024 13:58,7/30/2024 14:05,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
7/30/2024 15:50,7/30/2024 15:57,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
7/30/2024 16:46,7/30/2024 16:53,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
7/30/2024 19:30,7/30/2024 19:38,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
7/30/2024 19:47,7/30/2024 19:56,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
7/30/2024 20:04,7/30/2024 20:12,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
7/30/2024 20:21,7/30/2024 20:30,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
7/31/2024 13:30,7/31/2024 13:37,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
7/31/2024 13:58,7/31/2024 14:05,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
7/31/2024 15:50,7/31/2024 15:57,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
7/31/2024 16:46,7/31/2024 16:53,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
7/31/2024 13:30,7/31/2024 13:37,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
7/31/2024 13:58,7/31/2024 14:05,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
7/31/2024 15:50,7/31/2024 15:57,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
7/31/2024 16:46,7/31/2024 16:53,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
7/31/2024 19:30,7/31/2024 19:38,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
7/31/2024 19:47,7/31/2024 19:56,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
7/31/2024 20:04,7/31/2024 20:12,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
7/31/2024 20:21,7/31/2024 20:30,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
8/1/2024 13:30,8/1/2024 13:37,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
8/1/2024 13:58,8/1/2024 14:05,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
8/1/2024 15:50,8/1/2024 15:57,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
8/1/2024 16:46,8/1/2024 16:53,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
8/1/2024 13:30,8/1/2024 13:37,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
8/1/2024 13:58,8/1/2024 14:05,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
8/1/2024 15:50,8/1/2024 15:57,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
8/1/2024 16:46,8/1/2024 16:53,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
8/1/2024 19:30,8/1/2024 19:38,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
8/1/2024 19:47,8/1/2024 19:56,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
8/1/2024 20:04,8/1/2024 20:12,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
8/1/2024 20:21,8/1/2024 20:30,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
8/2/2024 13:30,8/2/2024 13:37,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
8/2/2024 13:58,8/2/2024 14:05,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
8/2/2024 15:50,8/2/2024 15:57,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
8/2/2024 16:46,8/2/2024 16:53,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
8/2/2024 13:30,8/2/2024 13:37,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
8/2/2024 13:58,8/2/2024 14:05,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
8/2/2024 15:50,8/2/2024 15:57,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
8/2/2024 16:46,8/2/2024 16:53,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
8/2/2024 19:30,8/2/2024 19:38,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
8/2/2024 19:47,8/2/2024 19:56,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
8/2/2024 20:04,8/2/2024 20:12,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
8/2/2024 20:21,8/2/2024 20:30,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
8/3/2024 11:30,8/3/2024 11:55,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
8/3/2024 11:30,8/3/2024 12:20,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
8/3/2024 13:10,8/3/2024 14:05,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
8/3/2024 14:10,8/3/2024 15:10,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
8/3/2024 14:45,8/3/2024 15:20,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo
8/5/2024 18:30,8/5/2024 19:50,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
