title,city,date_start,date_end,tag,url,stage_number
"Paris, Day 2",Place de la République,7/15/2024 3:31,7/16/2024 3:29,paris-paris-2,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/paris-paris-2,58
Aisne,Saint-Quentin,7/17/2024 3:31,7/18/2024 3:29,aisne-saint-quentin,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/aisne-saint-quentin,59
Oise,Beauvais,7/18/2024 3:31,7/19/2024 3:29,oise-beauvais,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/oise-beauvais,60
Val-d'Oise,Soisy-sous-Montmorency,7/19/2024 3:31,7/20/2024 3:29,val-d-oise-soisy-sous-montmorency,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/val-d-oise-soisy-sous-montmorency,61
Seine-et-Marne,Meaux,7/20/2024 3:31,7/21/2024 3:29,seine-et-marne-meaux,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/seine-et-marne-meaux,62
Val-de-Marne,Créteil,7/21/2024 3:31,7/22/2024 3:29,val-de-marne-creteil,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/val-de-marne-creteil,63
Essonne,Evry-Courcouronnes,7/22/2024 3:31,7/23/2024 3:29,essonne-evry-courcouronnes,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/essonne-evry-courcouronnes,64
Yvelines,Versailles,7/23/2024 3:31,7/24/2024 3:29,yvelines-versailles,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/yvelines-versailles,65
Hauts-de-Seine,Nanterre > L’Arche de la Défense,7/24/2024 3:31,7/25/2024 3:29,hauts-de-seine-nanterre,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/hauts-de-seine-nanterre,66
Seine-Saint-Denis,Parc Georges-Valbon,7/25/2024 3:31,7/26/2024 3:29,seine-saint-denis-la-courneuve,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/seine-saint-denis-la-courneuve,67
Epilogue,Paris,7/26/2024 3:31,7/27/2024 3:29,epilogue,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/epilogue,68
